window_id,start_ref,start_test,end_test,mmd_stat_q,p_q,kernel_var,n_sub_total,n_sub_X,n_sub_Y,perm_time_s,total_time_s,error
1749,874500,878500,879500,0.0016901613606891963,0.2549019607843137,0.01280438381200592,200,160,40,0.007155656814575195,0.3972904682159424,
1762,881000,885000,886000,-0.0018578317384056464,0.6078431372549019,0.012333057756600263,200,160,40,0.006926536560058594,0.39777398109436035,
1776,888000,892000,893000,-0.0017552416567856166,0.5882352941176471,0.011909810667861995,200,160,40,0.0071299076080322266,0.37902283668518066,
1789,894500,898500,899500,0.005035443084978053,0.21568627450980393,0.011908925204491144,200,160,40,0.006302595138549805,0.3847370147705078,
1803,901500,905500,906500,-0.0022133199964100847,0.6470588235294118,0.011681926611179443,200,160,40,0.007038593292236328,0.3848898410797119,
1816,908000,912000,913000,0.0029754302027125423,0.27450980392156865,0.01124632156102106,200,160,40,0.006007671356201172,0.3882865905761719,
1829,914500,918500,919500,0.006190275533197148,0.13725490196078433,0.012217432707102493,200,160,40,0.007443428039550781,0.39263248443603516,
1843,921500,925500,926500,0.002285361977115735,0.29411764705882354,0.012130082455195779,200,160,40,0.00812983512878418,0.3868215084075928,
1856,928000,932000,933000,0.001996548085302835,0.4117647058823529,0.01239658791328266,200,160,40,0.006682395935058594,0.39350247383117676,
1869,934500,938500,939500,0.004182478652929228,0.11764705882352941,0.012614072304150618,200,160,40,0.006719827651977539,0.38710546493530273,
1883,941500,945500,946500,0.005094086628190525,0.058823529411764705,0.011819344325878833,200,160,40,0.007007598876953125,0.42423152923583984,
1896,948000,952000,953000,0.004410550560805082,0.13725490196078433,0.012754806946770812,200,160,40,0.00600743293762207,0.3990602493286133,
1909,954500,958500,959500,-0.004564419221376903,0.803921568627451,0.012742423940154044,200,160,40,0.00627589225769043,0.38136816024780273,
1923,961500,965500,966500,-0.0009470521721550718,0.5294117647058824,0.012473272698622986,200,160,40,0.006169557571411133,0.39243602752685547,
1936,968000,972000,973000,0.0012417187004551966,0.35294117647058826,0.012447405711810569,200,160,40,0.01595616340637207,0.391510009765625,
1949,974500,978500,979500,0.0013084304769319655,0.3333333333333333,0.011466714857549463,200,160,40,0.01588892936706543,0.38745808601379395,
1963,981500,985500,986500,0.002785792588214403,0.17647058823529413,0.012373560392520955,200,160,40,0.016164541244506836,0.39276814460754395,
1976,988000,992000,993000,0.0032609982897930656,0.17647058823529413,0.012467971158990098,200,160,40,0.0,0.37198925018310547,
1990,995000,999000,1000000,5.2887892659808644e-05,0.47058823529411764,0.011711526053303702,200,160,40,0.0070078372955322266,0.388385534286499,
