window_id,start_ref,start_test,end_test,mmd_stat_q,p_q,kernel_var,n_sub_total,n_sub_X,n_sub_Y,perm_time_s,total_time_s,error
864,432000,436000,437000,0.002000406086040407,0.3137254901960784,0.023246187486745996,200,160,40,0.010112285614013672,1.467116117477417,
872,436000,440000,441000,0.028986661343130243,0.0196078431372549,0.024566255912171146,200,160,40,0.007859945297241211,1.3314599990844727,
880,440000,444000,445000,0.013616817669294845,0.0392156862745098,0.025561153155438835,200,160,40,0.008274078369140625,1.4818227291107178,
888,444000,448000,449000,0.020987520488212563,0.0392156862745098,0.027722037532305538,200,160,40,0.01607823371887207,1.2910740375518799,
895,447500,451500,452500,0.003516231414780052,0.27450980392156865,0.018891998347107933,200,160,40,0.006776332855224609,1.3350977897644043,
903,451500,455500,456500,0.008155745271992199,0.0784313725490196,0.01807177003029411,200,160,40,0.01605677604675293,1.3702785968780518,
911,455500,459500,460500,-0.005026051420468608,0.8823529411764706,0.017048732070150258,200,160,40,0.008313894271850586,1.6578586101531982,
919,459500,463500,464500,-0.004718502698242338,0.7647058823529411,0.024073496459115596,200,160,40,0.009854555130004883,1.4200894832611084,
927,463500,467500,468500,-0.0017065092549745364,0.49019607843137253,0.0235177628553562,200,160,40,0.014917850494384766,1.8244738578796387,
935,467500,471500,472500,0.013346157590857388,0.0196078431372549,0.01742239745032239,200,160,40,0.008075475692749023,1.41152024269104,
943,471500,475500,476500,0.009689779274386218,0.0784313725490196,0.020554477618999947,200,160,40,0.009877204895019531,1.2910051345825195,
950,475000,479000,480000,0.008573673191256376,0.0196078431372549,0.02006560325436437,200,160,40,0.00837087631225586,1.2672936916351318,
958,479000,483000,484000,0.0028891164024041627,0.27450980392156865,0.017798981425973675,200,160,40,0.008905410766601562,1.2702271938323975,
966,483000,487000,488000,-0.00409767920224291,0.7647058823529411,0.021973102246986453,200,160,40,0.008015632629394531,1.254122018814087,
974,487000,491000,492000,0.008665469951505383,0.17647058823529413,0.01853693646292061,200,160,40,0.0,1.3898673057556152,
982,491000,495000,496000,0.004761202360453659,0.21568627450980393,0.026012834174957793,200,160,40,0.008605480194091797,1.2747430801391602,
990,495000,499000,500000,0.014744053648023031,0.0196078431372549,0.014693265252820952,200,160,40,0.008713483810424805,1.3125543594360352,
998,499000,503000,504000,-0.00805720626416892,0.9803921568627451,0.02877970202027483,200,160,40,0.008888959884643555,1.3426392078399658,
1005,502500,506500,507500,-0.010177032495602228,0.9803921568627451,0.029247325311698814,200,160,40,0.0075778961181640625,1.372659683227539,
1013,506500,510500,511500,0.033144188340908265,0.0196078431372549,0.02979078211283107,200,160,40,0.008445978164672852,1.2917430400848389,
1021,510500,514500,515500,0.00340139820247623,0.17647058823529413,0.021629676141342005,200,160,40,0.0,1.3933613300323486,
1029,514500,518500,519500,0.004695380484969036,0.17647058823529413,0.018765954051000316,200,160,40,0.008177995681762695,1.3243303298950195,
1037,518500,522500,523500,0.006606842060602691,0.11764705882352941,0.019223631598107735,200,160,40,0.016061067581176758,1.3641631603240967,
1045,522500,526500,527500,-0.007749503914840666,0.8823529411764706,0.028101348294312573,200,160,40,0.0,1.3108062744140625,
